
[00:00:00.000 --> 00:00:00.800]  
[00:00:00.800 --> 00:00:00.880]   Jo
[00:00:00.880 --> 00:00:02.000]  ost
[00:00:02.000 --> 00:00:04.600]   is
[00:00:04.600 --> 00:00:12.390]   taking
[00:00:12.390 --> 00:00:16.290]   off
[00:00:16.290 --> 00:00:20.200]  .
[00:00:20.200 --> 00:00:20.200]  
[00:00:20.200 --> 00:00:20.630]   Welcome
[00:00:20.630 --> 00:00:20.750]   to
[00:00:20.750 --> 00:00:21.180]   episode
[00:00:21.180 --> 00:00:21.360]   two
[00:00:21.360 --> 00:00:21.790]   hundred
[00:00:21.790 --> 00:00:21.970]   and
[00:00:21.970 --> 00:00:22.270]   forty
[00:00:22.270 --> 00:00:22.560]   eight
[00:00:22.560 --> 00:00:22.690]   of
[00:00:22.690 --> 00:00:22.930]   Text
[00:00:22.930 --> 00:00:23.110]  ing
[00:00:23.110 --> 00:00:23.290]  .
[00:00:23.290 --> 00:00:23.340]   I
[00:00:23.340 --> 00:00:23.720]   listen
[00:00:23.720 --> 00:00:23.840]   to
[00:00:23.840 --> 00:00:24.210]   myself
[00:00:24.210 --> 00:00:24.580]   Justin
[00:00:24.580 --> 00:00:24.700]  ,
[00:00:24.700 --> 00:00:25.130]   Vincent
[00:00:25.130 --> 00:00:25.310]   and
[00:00:25.310 --> 00:00:25.610]   Jason
[00:00:25.610 --> 00:00:26.040]   Roberts
[00:00:26.040 --> 00:00:26.220]  .
[00:00:26.220 --> 00:00:26.400]   Hey
[00:00:26.400 --> 00:00:26.700]   Jason
[00:00:26.700 --> 00:00:26.840]  ,
[00:00:26.840 --> 00:00:27.000]   how
[00:00:27.000 --> 00:00:27.180]   you
[00:00:27.180 --> 00:00:27.470]   doing
[00:00:27.470 --> 00:00:27.660]  ?
[00:00:27.660 --> 00:00:27.710]   I
[00:00:27.710 --> 00:00:27.830]  'm
[00:00:27.830 --> 00:00:28.330]   really
[00:00:28.330 --> 00:00:28.580]   loving
[00:00:28.580 --> 00:00:28.880]   these
[00:00:28.880 --> 00:00:29.000]   uh
[00:00:29.000 --> 00:00:29.370]   Friday
[00:00:29.370 --> 00:00:29.910]   afternoon
[00:00:29.910 --> 00:00:30.330]   chats
[00:00:30.330 --> 00:00:30.460]   that
[00:00:30.460 --> 00:00:30.580]   we
[00:00:30.580 --> 00:00:30.760]  're
[00:00:30.760 --> 00:00:31.130]   having
[00:00:31.130 --> 00:00:31.370]   here
[00:00:31.370 --> 00:00:31.800]  . [SPEAKER_TURN]
[00:00:31.900 --> 00:00:31.960]  
[00:00:31.960 --> 00:00:32.170]   Yeah
[00:00:32.170 --> 00:00:32.230]   I
[00:00:32.230 --> 00:00:32.460]   was
[00:00:32.460 --> 00:00:32.700]   just
[00:00:32.700 --> 00:00:33.240]   thinking
[00:00:33.240 --> 00:00:33.450]   the
[00:00:33.450 --> 00:00:33.710]   same
[00:00:33.710 --> 00:00:34.050]   thing
[00:00:34.050 --> 00:00:34.120]   I
[00:00:34.120 --> 00:00:34.320]  .
[00:00:34.320 --> 00:00:34.430]   f
[00:00:34.430 --> 00:00:34.430]   I
[00:00:34.430 --> 00:00:34.490]   I
[00:00:34.490 --> 00:00:34.690]  've
[00:00:34.690 --> 00:00:35.150]   decided
[00:00:35.150 --> 00:00:35.490]   that
[00:00:35.490 --> 00:00:35.830]   that
[00:00:35.830 --> 00:00:35.860]  's
[00:00:35.860 --> 00:00:36.030]   the
[00:00:36.030 --> 00:00:36.230]   per
[00:00:36.230 --> 00:00:36.590]   that
[00:00:36.590 --> 00:00:36.770]   this
[00:00:36.770 --> 00:00:36.900]   is
[00:00:36.900 --> 00:00:37.090]   the
[00:00:37.090 --> 00:00:37.780]   perfect
[00:00:37.780 --> 00:00:37.840]   time
[00:00:37.840 --> 00:00:38.040]  .
[00:00:38.040 --> 00:00:38.510]   Because
[00:00:38.510 --> 00:00:38.570]   I
[00:00:38.570 --> 00:00:38.840]   feel
[00:00:38.840 --> 00:00:39.110]   like
[00:00:39.110 --> 00:00:39.520]   Friday
[00:00:39.520 --> 00:00:40.130]   afternoon
[00:00:40.130 --> 00:00:40.260]   is
[00:00:40.260 --> 00:00:40.540]   probably
[00:00:40.540 --> 00:00:41.160]   my
[00:00:41.160 --> 00:00:41.270]   least
[00:00:41.270 --> 00:00:42.220]   productive
[00:00:42.220 --> 00:00:42.230]   time
[00:00:42.230 --> 00:00:42.350]   in
[00:00:42.350 --> 00:00:42.550]   the
[00:00:42.550 --> 00:00:42.820]   week
[00:00:42.820 --> 00:00:43.020]  .
[00:00:43.020 --> 00:00:43.220]   You
