
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.880]   Just
[00:00:00.880 --> 00:00:00.920]   a
[00:00:00.920 --> 00:00:01.840]   quick
[00:00:01.840 --> 00:00:02.580]   note
[00:00:02.580 --> 00:00:02.950]   to
[00:00:02.950 --> 00:00:03.500]   say
[00:00:03.500 --> 00:00:04.240]   that
[00:00:04.240 --> 00:00:05.020]   this
[00:00:05.020 --> 00:00:05.020]   episode
[00:00:05.020 --> 00:00:05.030]   is
[00:00:05.030 --> 00:00:05.040]   fra
[00:00:05.040 --> 00:00:05.050]  ught
[00:00:05.050 --> 00:00:05.050]   with
[00:00:05.050 --> 00:00:05.060]   audio
[00:00:05.060 --> 00:00:05.080]   issues
[00:00:05.080 --> 00:00:05.120]  .
[00:00:05.120 --> 00:00:05.140]   My
[00:00:05.140 --> 00:00:05.620]   microphone
[00:00:05.620 --> 00:00:05.760]   had
[00:00:05.760 --> 00:00:05.800]   a
[00:00:05.800 --> 00:00:06.090]   really
[00:00:06.090 --> 00:00:06.230]   bad
[00:00:06.230 --> 00:00:06.710]   background
[00:00:06.710 --> 00:00:06.850]   hum
[00:00:06.850 --> 00:00:07.080]   on
[00:00:07.080 --> 00:00:07.080]   it
[00:00:07.080 --> 00:00:07.360]   and
[00:00:07.360 --> 00:00:07.380]   U
[00:00:07.380 --> 00:00:07.490]  di
[00:00:07.490 --> 00:00:07.640]  's
[00:00:07.640 --> 00:00:08.340]   microphone
[00:00:08.340 --> 00:00:08.700]   just
[00:00:08.700 --> 00:00:08.920]   wasn
[00:00:08.920 --> 00:00:09.030]  't
[00:00:09.030 --> 00:00:09.250]   very
[00:00:09.250 --> 00:00:09.630]   good
[00:00:09.630 --> 00:00:09.640]  .
[00:00:09.640 --> 00:00:09.790]   But
[00:00:09.790 --> 00:00:09.900]   we
[00:00:09.900 --> 00:00:10.070]  've
[00:00:10.070 --> 00:00:10.460]   edited
[00:00:10.460 --> 00:00:10.500]   it
[00:00:10.500 --> 00:00:10.630]   as
[00:00:10.630 --> 00:00:10.830]   best
[00:00:10.830 --> 00:00:10.940]   we
[00:00:10.940 --> 00:00:11.100]   can
[00:00:11.100 --> 00:00:11.300]   so
[00:00:11.300 --> 00:00:11.620]   hopefully
[00:00:11.620 --> 00:00:11.740]   you
[00:00:11.740 --> 00:00:11.840]   can
[00:00:11.840 --> 00:00:12.120]   forgive
[00:00:12.120 --> 00:00:12.480]   the
[00:00:12.480 --> 00:00:12.860]   odd
[00:00:12.860 --> 00:00:13.830]   glitch
[00:00:13.830 --> 00:00:14.030]   here
[00:00:14.030 --> 00:00:14.390]   and
[00:00:14.390 --> 00:00:14.980]   there
[00:00:14.980 --> 00:00:15.360]  .
[00:00:27.020 --> 00:00:27.020]  
[00:00:27.020 --> 00:00:27.520]   Welcome
[00:00:27.520 --> 00:00:27.660]   to
[00:00:27.660 --> 00:00:28.160]   episode
[00:00:28.160 --> 00:00:28.590]   22
[00:00:28.590 --> 00:00:28.800]  9
[00:00:28.800 --> 00:00:28.940]   of
[00:00:28.940 --> 00:00:29.220]   Tech
[00:00:29.220 --> 00:00:29.290]  S
[00:00:29.290 --> 00:00:29.500]  ing
[00:00:29.500 --> 00:00:29.570]  h
[00:00:29.570 --> 00:00:30.000]   hosted
[00:00:30.000 --> 00:00:30.140]   by
[00:00:30.140 --> 00:00:30.620]   myself
[00:00:30.620 --> 00:00:31.100]   Justin
[00:00:31.100 --> 00:00:31.160]   V
[00:00:31.160 --> 00:00:31.500]  inson
[00:00:31.500 --> 00:00:31.800]   and
[00:00:31.800 --> 00:00:32.280]   Jason
[00:00:32.280 --> 00:00:32.840]   Roberts
[00:00:32.840 --> 00:00:33.130]  .
[00:00:33.130 --> 00:00:33.440]   And
[00:00:33.440 --> 00:00:33.810]   today
[00:00:33.810 --> 00:00:34.240]   Jason
[00:00:34.240 --> 00:00:34.410]  ,
[00:00:34.410 --> 00:00:34.920]   myself
[00:00:34.920 --> 00:00:35.170]   and
[00:00:35.170 --> 00:00:35.250]   U
[00:00:35.250 --> 00:00:35.420]  di
[00:00:35.420 --> 00:00:35.720]   are
[00:00:35.720 --> 00:00:35.940]   sitting
[00:00:35.940 --> 00:00:36.100]   around
